"ASSESSID","B_msy","C_msy"
"PFMC-LINGCODSPCOAST-1956-2005-STANTON",NA,1458.60960474546
"RIDEM-LOBSTERRI-1959-2007-COLLIE",5744.06,1382.89327978625
"RIDEM-TAUTOGRI-1959-2007-COLLIE",1478.22,350.196167761935
"RIDEM-WINFLOUNDRI-1959-2007-COLLIE",38868.4,989.303393707043
"SEFSC-BHEADSHARATL-1950-2005-FAUCONNET",1971.88,267.672276764641
"SEFSC-BNOSESHARATL-1950-2005-FAUCONNET",NA,NA
"SEFSC-BTIPSHARATL-1981-2004-FAUCONNET",25627.7,47.0987742814621
"SEFSC-BTIPSHARGM-1981-2004-FAUCONNET",12230.6,216.275735518557
"SEFSC-FTOOTHSHARATL-1976-2005-FAUCONNET",NA,NA
"SEFSC-GAGGM-1963-2004-JENSEN",13767.4,3399.60010074798
"SEFSC-GAGSATLC-1962-2005-JENSEN",NA,NA
"SEFSC-GRAMBERGM-1986-2004-JENSEN",NA,1980.64849517974
"SEFSC-GRAMBERSATLC-1946-2006-JENSEN",NA,NA
"SEFSC-GTRIGGM-1981-2004-JENSEN",NA,NA
"SEFSC-KMACKGM-1992-2001-JENSEN",NA,4334.0574166441
"SEFSC-KMACKSATLC-1981-2001-JENSEN",NA,3558.79161602357
"SEFSC-MENATGM-1964-2004-GILROY",2442840,595819.821811097
"SEFSC-MUTSNAPSATLCGM-1981-2006-JENSEN",NA,NA
"SEFSC-RGROUPGM-1986-2005-JENSEN",239884,3891.32461995556
"SEFSC-RPORGYSATLC-1972-2004-JENSEN",4660.04,470.162700039496
"SEFSC-RSNAPEGM-1872-2003-STANTON",NA,1949.91009657141
"SEFSC-RSNAPSATLC-1945-2006-JENSEN",NA,NA
"SEFSC-RSNAPWGM-1880-2003-STANTON",NA,2422.46830548905
"SEFSC-SBARSHARATL-1975-2004-FAUCONNET",2.29e+15,123.999640918719
"SEFSC-SNOSESHARATL-1950-2005-FAUCONNET",NA,500.009908836656
"SEFSC-SNOWGROUPSATLC-1961-2002-STANTON",2103.64,181.1280009124
"SEFSC-SPANMACKSATLC-1950-2008-JENSEN",34166.5,6414.58407956581
"SEFSC-TILESATLC-1961-2002-STANTON",3472.64,343.672175641753
"SEFSC-VSNAPGM-1981-2004-JENSEN",NA,1294.60419610101
"SEFSC-VSNAPSATLC-1946-2008-STANTON",4031.9,475.902355830579
"SEFSC-YTSNAPSATLC-1962-2001-STANTON",NA,768.535266682037
"SFI-WPOLLNSO-1985-1994-JENSEN",NA,1620810.61984414
"SPC-ALBASPAC-1959-2006-JENSEN",538957,56237.831768312
"SPC-BIGEYEWPO-1952-2006-JENSEN",501459,113911.170778968
"SPC-SKJCWPAC-1972-2006-JENSEN",5850390,1101670.98262238
"SPC-STMARLINSWPO-1950-2003-JENSEN",18260.9,3046.42508330586
"SPC-YFINCWPAC-1952-2005-JENSEN",2494860,402120.019228144
"SPRFMO-CHTRACCH-1950-2010-RICARD",35673600,2261213.26506271
"SWFSC-CALSCORPSCAL-1990-2005-STANTON",NA,NA
"SWFSC-CMACKPCOAST-1929-2008-PINSKY",NA,31539.6360544917
"SWFSC-DSOLEPCOAST-1910-2005-STANTON",281000,14824.5145419559
"SWFSC-GOPHERSPCOAST-1965-2005-STANTON",5659.13,98.2755828354932
"SWFSC-SARDPCOAST-1981-2007-PINSKY",NA,136299.365718817
"SWFSC-SBELLYROCKPCOAST-1950-2005-BRANCH",4.78e-06,801.815495072988
"SWFSC-STFLOUNNPCOAST-1970-2005-STANTON",7718.91,628.155083041596
"SWFSC-STFLOUNSPCOAST-1970-2005-STANTON",3129.59,331.127603490037
"TAFI-TASGIANTCRABTAS-1990-2007-JENSEN",NA,97.9030939072126
"VNIRO-WPOLLWBS-1994-2004-JENSEN",NA,499286.043378345
"WGBFAS-CODBA2224-1969-2007-JENNINGS",135573,38409.8159256325
"WGBFAS-CODBA2532-1964-2007-JENNINGS",1263170,183715.820162301
"WGBFAS-CODKAT-1970-2006-MINTO",42492.8,12464.6845680003
"WGBFAS-HERR2532-1973-2006-JENNINGS",1909120,244929.871779943
"WGBFAS-HERR30-1972-2007-JENNINGS",358191,56937.7163026741
"WGBFAS-HERR31-1979-2006-JENNINGS",58098.2,6741.78774671137
"WGBFAS-HERRIsum-1983-2007-JENNINGS",1371450,108761.565156185
"WGBFAS-HERRRIGA-1976-2007-JENNINGS",117463,33994.0554092034
"WGBFAS-SOLEIIIa-1982-2007-JENNINGS",3800.76,865.91594235959
"WGBFAS-SPRAT22-32-1973-2007-JENNINGS",1610160,369164.745151633
"WGHMM-FMEG8c9a-1986-2006-JENNINGS",2.31e+15,1278.56217515658
"WGHMM-HAKENRTN-1977-2007-JENNINGS",232284,55367.9786539025
"WGHMM-HAKESOTH-1982-2007-JENNINGS",NA,12644.0052812583
"WGHMM-MEG8c9a-1985-2007-JENNINGS",5154.81,464.922829783948
"WGHMM-SOLEVIII-1982-2006-JENNINGS",25225.1,5746.5692904667
"WGMHSA-ANCHOBAYB-1986-2007-JENNINGS",NA,26616.9117167148
"WGMHSA-MACKNEICES-1972-2007-JENNINGS",2986850,687813.632433084
"WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS",NA,155298.734159392
"WGNPBW-BWHITNEA-1980-2007-JENNINGS",10523200,1761408.60792082
"WGNSDS-CODIS-1968-2006-MINTO",51611.1,8798.04102837837
"WGNSDS-CODVIa-1977-2006-MINTO",66571.6,16005.1747526549
"WGNSDS-HADIS-1972-2006-MINTO",NA,1732.91651229993
"WGNSDS-HADVIa-1977-2006-MINTO",78659.9,23714.7194585565
"WGNSDS-PLAICIS-1962-2006-MINTO",12397.2,3393.38170633416
"WGNSDS-SOLEIS-1968-2006-MINTO",5913.34,1387.25996372437
"WGNSDS-WHITVIa-1984-2007-MINTO",NA,NA
