"ASSESSID","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","C_msy","if_collapse_cmsy","nyr_collapse_cmsy","if_collapse_bmsy","nyr_collapse_bmsy"
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Gulf of Alaska","Gadus macrocephalus","Pacific cod","West Coast of Vancouver Island",2,1,47,46,15979.4,1941.8021530906,0,0,1,6
"DFO-PAC-RSOLEHSTR-1945-2001-COLLIE","Gulf of Alaska","Lepidopsetta bilineata","Rock sole","Hecate Strait",2,1,57,57,4726.97,1077.82026459608,0,0,0,0
"DFO-PAC-SABLEFPCAN-1913-2004-STANTON","Gulf of Alaska","Anoplopoma fimbria","Sablefish","Pacific Coast of Canada",2,1,0,92,NA,4001.7836362932,0,0,0,0
"DFO-POLL4X5YZ-1980-2006-PREFONTAINE","Northeast U.S. Continental Shelf","Pollachius virens","Pollock","Western Scotian Shelf, Bay of Fundy, Gulf of Maine and Georges Bank",7,2,25,25,61342.3,12937.4851585491,0,0,0,1
"DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE","Newfoundland-Labrador Shelf","Gadus morhua","Atlantic cod","Northern Gulf of St. Lawrence",9,1,34,43,1572080,69186.865745375,0,0,1,21
"DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE","Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,0,30,NA,19404.4168401279,0,0,0,0
"DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE","Newfoundland-Labrador Shelf","Clupea harengus","Herring","NAFO division 4R",9,1,40,39,122669,27771.3641658238,0,0,0,0
"DFO-SG-COD4TVn-1965-2009-RICARD","Scotian Shelf","Gadus morhua","Atlantic cod","Southern Gulf of St. Lawrence",8,1,39,44,531036,47376.2057424403,0,0,1,11
"DFO-SG-HERR4TFA-1974-2007-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,306273,219598.07109131,1,2,1,3
"DFO-SG-HERR4TSP-1974-2007-PREFONTAINE","Scotian Shelf","Clupea harengus","Herring","Southern Gulf of St. Lawrence",8,1,30,29,155000,71676.6470548249,1,2,1,8
"HAWG-HERR2224IIIa-1991-2006-MINTO","North Sea","Clupea harengus","Herring","22-24-IIIa",22,2,16,16,NA,125784.54445784,0,0,0,0
"HAWG-HERRNIRS-1960-2006-JENNINGS","Celtic-Biscay Shelf","Clupea harengus","Herring","Irish Sea",24,1,46,46,96896.8,12452.558429759,0,0,1,10
"HAWG-HERRNS-1960-2007-MINTO","North Sea","Clupea harengus","Herring","North Sea",22,1,47,47,3514600,537937.116522933,0,0,1,6
"HAWG-HERRVIa-1957-2006-MINTO","Celtic-Biscay Shelf","Clupea harengus","Herring","West of Scotland",24,1,49,49,618720,80974.7443813123,0,0,1,2
"HAWG-HERRVIaVIIbc-1969-2000-MINTO","Celtic-Biscay Shelf","Clupea harengus","Herring","VIa, VIIb and VIIc",24,1,31,31,212720,27876.9388797724,0,0,0,0
"HAWG-SPRATNS-1995-2007-MINTO","North Sea","Sprattus sprattus","Sprat","North Sea",22,1,12,0,NA,NA,0,0,0,0
"IATTC-BIGEYEEPAC-1975-2007-JENSEN","Pacific High Seas","Thunnus obesus","Bigeye tuna","Eastern Pacific",-99,1,33,0,NA,NA,0,0,0,0
"IATTC-YFINEPAC-1975-2007-JENSEN","Pacific High Seas","Thunnus albacares","Yellowfin tuna","Northeast Pacific",-99,1,33,0,NA,NA,0,0,0,0
"ICCAT-ALBANATL-1929-2005-WORM","Atlantic High Seas","Thunnus alalunga","Albacore tuna","Northern Atlantic",-98,1,76,76,156416,43162.4434115977,0,0,0,0
"ICCAT-ATBTUNAEATL-1969-2007-WORM","Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Eastern Atlantic",-98,2,38,38,217916,52866.0897025327,0,0,0,0
"ICCAT-ATBTUNAWATL-1969-2007-WORM","Atlantic High Seas","Thunnus thynnus","Atlantic bluefin tuna","Western Atlantic",-98,1,0,38,NA,3976.96617758642,0,0,0,0
"ICCAT-BIGEYEATL-1950-2005-JENSEN","Atlantic High Seas","Thunnus obesus","Bigeye tuna","Atlantic",-98,1,56,56,450663,99153.986570929,0,0,0,0
"ICCAT-SKJEATL-1950-2006-JENSEN","Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Eastern Atlantic",-98,1,57,57,383658,131295.445828825,0,0,0,0
"ICCAT-SKJWATL-1952-2006-JENSEN","Atlantic High Seas","Katsuwonus pelamis","Skipjack tuna","Western Atlantic",-98,1,55,55,97261.2,28993.1885628254,0,0,0,0
"ICCAT-SWORDMED-1968-2006-JENSEN","Mediterranean Sea","Xiphias gladius","Swordfish","Mediterranean Sea",26,1,39,38,117281,15236.738177261,0,0,0,0
"ICCAT-SWORDNATL-1978-2007-JENSEN","Atlantic High Seas","Xiphias gladius","Swordfish","Northern Atlantic",-98,1,28,25,45692.1,15666.4914522233,0,0,0,0
"ICCAT-SWORDSATL-1970-2005-JENSEN","Atlantic High Seas","Xiphias gladius","Swordfish","South Atlantic",-98,1,36,36,61520.2,15111.6425326497,0,0,0,0
"ICCAT-YFINATL-1970-2006-JENSEN","Atlantic High Seas","Thunnus albacares","Yellowfin tuna","Atlantic",-98,1,37,37,448174,147327.318069139,0,0,0,0
"IMARM-SFMAKONWPAC-1990-2003-FAUCONNET","Pacific High Seas","Isurus oxyrinchus","Shortfin mako","Nothwest Pacific Ocean",-99,3,0,14,NA,560.185856730305,0,0,0,0
"IMARPE-PANCHPERUNC-1963-2004-RICARD","Humboldt Current","Engraulis ringens","Peruvian anchoveta","North-Central Peruvian coast",13,1,0,0,NA,NA,0,0,0,0
"INIDEP-ARGANCHONARG-1989-2007-Parma","Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Northern Argentina",14,1,18,18,NA,29187.0914275616,0,0,0,0
"INIDEP-ARGANCHOSARG-1992-2007-Parma","Patagonian Shelf","Engraulis anchoita","Argentine anchoita","Southern Argentina",14,1,15,15,NA,3568.01651961006,0,0,0,0
"INIDEP-ARGHAKENARG-1985-2007-Parma","Patagonian Shelf","Merluccius hubbsi","Argentine hake","Northern Argentina",14,1,22,22,332235,136363.454692487,0,0,0,0
"INIDEP-ARGHAKESARG-1985-2008-Parma","Patagonian Shelf","Merluccius hubbsi","Argentine hake","Southern Argentina",14,1,23,23,724287,305902.088639911,0,0,0,0
"INIDEP-PATGRENADIERSARG-1983-2006-Parma","Patagonian Shelf","Macruronus magellanicus","Patagonian grenadier","Southern Argentina",14,1,22,22,2201140,133733.023117895,0,0,0,0
"INIDEP-SBWHITARGS-1985-2007-Parma","Patagonian Shelf","Micromesistius australis","Southern blue whiting","Southern Argentina",14,1,21,21,7.93e+17,104586.436620243,0,0,1,21
"IOTC-BIGEYEIO-1957-2006-JENSEN","Indian High Seas","Thunnus obesus","Bigeye tuna","Indian Ocean",-97,1,0,50,NA,122182.133621562,0,0,0,0
"IPHC-PHALNPAC-1988-2009-Parma","Gulf of Alaska","Hippoglossus stenolepis","Pacific halibut","North Pacific",2,2,14,13,NA,53515.7261571771,0,0,0,0
"MARAM-ANCHOSA-1984-2006-deMoor","Benguela Current","Engraulis encrasicolus","Anchovy","South Africa",29,2,23,23,1831850,224028.223378833,0,0,0,0
"MARAM-CHAKESA-1917-2008-DEDECKER","Benguela Current","Merluccius capensis","Shallow-water cape hake","South Africa",29,2,92,92,432732,47153.5143918749,0,0,0,0
"MARAM-CRLOBSTERSA12-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 1-2",29,1,99,98,77275.2,NA,0,0,1,42
"MARAM-CRLOBSTERSA34-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 3-4",29,1,99,98,12271000,NA,0,0,1,99
"MARAM-CRLOBSTERSA56-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Areas 5-6",29,1,99,98,3.54e+16,NA,0,0,1,99
"MARAM-CRLOBSTERSA7-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 7",29,1,99,98,1.32e-07,1822.70285772122,0,0,0,0
"MARAM-CRLOBSTERSA8-1910-2008-Johnston","Benguela Current","Jasus lalandii","South African west coast rock lobster","South Africa Area 8",29,1,99,98,1.43e-07,2078.10823718389,0,0,0,0
"MARAM-CTRACSA-1950-2007-Johnston","Agulhas Current","Trachurus capensis","Cape horse mackerel","South Africa South coast",30,1,58,58,472492,45720.2935555983,0,0,0,0
"MARAM-DEEPCHAKESA-1917-2008-DEDECKER","Benguela Current","Merluccius paradoxus","Deep-water cape hake","South Africa",29,2,92,92,890680,123654.393158217,0,0,1,8
"MARAM-KINGKLIPSA-1932-2008-DEDECKER","Benguela Current","Genypterus capensis","Kingklip","South Africa",29,2,77,77,79489.4,4349.41610027371,0,0,0,0
"MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER","Subantarctic High Seas","Dissostichus eleginoides","Patagonian toothfish","South Africa Subantarctic Prince Edward Islands",-96,1,49,48,6.08e+15,2854.52839389941,0,0,1,49
"MARAM-SAABALONESA-1951-2008-PLAGANYI","Benguela Current","Haliotis midae","South African abalone","South Africa",29,1,58,58,25133.4,1074.85697723186,0,0,0,0
