ASSESSID,COMMON,AREA,POINTS_AVAILABLE,BMSY,SSBMSY,BLIM,SSBLIM,SSBPA,SSBTARGET,UMSY,FMSY,FLIM
NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Winter Flounder,Southern New England /Mid Atlantic,15,,38761,,19381,,,,,
NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,Witch Flounder,Gulf of Maine,10,,11447,,,,,,0.2,
NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Yellowtail flounder,Cape Cod / Gulf of Maine,10,,7790,,,,,,0.239,
NEFSC-YELLGB-1935-2008-BAUM,Yellowtail flounder,Georges Bank,10,,43200,,,,,,0.254,
NEFSC-YELLSNEMATL-1935-2008-BAUM,Yellowtail Flounder,Southern New England /Mid Atlantic,11,,27400,,,,,,0.254,
NIWA-AUSSALMONNZ-1975-2006-JENSEN,Australian salmon,New Zealand,16,,12280.72932,,,,,,0.32,
NIWA-OROUGHYNZMEC-1981-2004-JENSEN,Orange roughy,New Zealand Mid East Coast,16,,20213.00407,,,,,,0.044,
NMFS-MENATLAN-1940-2005-STANTON,Atlantic menhaden,Atlantic,6,,,,,,,,,
NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder,Pacific Coast,26,,16593,,35129,,30780,,0.21,
NWFSC-BGROCKPCOAST-1950-2005-STANTON,Blackgill rockfish,Pacific Coast,11,,3799,,,,,0.029,,
NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Black rockfish,Northern Pacific Coast,29,,698.62,,,,928.4,,0.141,
NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,Black rockfish,Southern Pacific Coast,26,,1444.6,,1614,,1831.4,,0.08864,
NWFSC-BLUEROCKCAL-1916-2007-BRANCH,Blue rockfish,California,28,,831,205,,,,,0.0403,
NWFSC-BOCACCSPCOAST-1951-2006-BRANCH,Bocaccio,Southern Pacific Coast,23,,,,,,,,0.063,
NWFSC-CHILISPCOAST-1892-2007-BRANCH,Chilipepper,Southern Pacific Coast,23,12126,,8666,,,21034,,0.112,
NWFSC-COWCODSCAL-1900-2007-BRANCH,Cowcod,Southern California,27,,995,38,,,995,,0.027,
NWFSC-CROCKPCOAST-1916-2009-Stachura,Canary rockfish,Pacific Coast,23,,9928,,,,10397,,0.094,
NWFSC-DKROCKPCOAST-1928-2007-BRANCH,Darkblotched rockfish,Pacific Coast,28,,,3176,,,,,0.048,
NWFSC-ESOLEPCOAST-1876-2007-BRANCH,English sole,Pacific Coast,26,,6526,,7364,,14405,,0.27,
NWFSC-KELPGREENLINGORECOAST-1979-2005-STANTON,Kelp greenling,Oregon Coast,21,,123,,,,,0.125,,
NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH,Longnose skate,Pacific Coast,26,,2626,4617,,,2814,,0.027,
NWFSC-LSTHORNHPCOAST-1962-2005-STANTON,Longspine thornyhead,Pacific Coast,17,,28305,,,,,,0.055,
NWFSC-PHAKEPCOAST-1966-2008-BRANCH,Pacific hake,Pacific Coast,24,,680000,,882000,,1170000,,0.26,
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,Pacific ocean perch,Pacific Coast,23,,14793,,6856,,14793,,0.0382,
NWFSC-PSOLENPCOAST-1910-2005-STANTON,Petrale sole,Northern Pacific Coast,13,,2658,,,,,0.12,,
NWFSC-PSOLESPCOAST-1874-2005-STANTON,Petrale sole,Southern Pacific Coast,13,,4121,,,,,0.14,,
NWFSC-SABLEFPCOAST-1900-2007-BRANCH,Sablefish,Pacific Coast,27,91559,,76036,,,97919,,0.0333,
NWFSC-SSTHORNHPCOAST-1901-2005-STANTON,Shortspine thornyhead,Pacific Coast,18,,52258,,,,,0.0184,0.0238,
NWFSC-WROCKPCOAST-1955-2006-BRANCH,Widow rockfish,Pacific Coast,23,,,39194,,,,,0.121,
NWFSC-YEYEROCKPCOAST-1923-2006-BRANCH,Yelloweye rockfish,Pacific Coast,24,,1179,739,,,1225,,0.017,
NWFSC-YTROCKNPCOAST-1967-2005-STANTON,Yellowtail rockfish,Northern Pacific Coast,14,,12407,,,,,,,
NWWG-CAPEICE-1977-2007-MINTO,Capelin,Iceland Grounds,7,,,,,,,,,
NWWG-CODFAPL-1959-2006-MINTO,Atlantic cod,Faroe Plateau,13,,,,21000,40000,,,,0.68
NWWG-CODICE-1952-2006-MINTO,Atlantic cod,Iceland Grounds,11,,,,400000,,,,,
NWWG-HADFAPL-1955-2006-MINTO,Haddock,Faroe Plateau,14,,,,23000,35000,,,,0.4
NWWG-HADICE-1977-2007-MINTO,Haddock,Iceland Grounds,11,,,,,,,,,
NWWG-POLLFAPL-1958-2006-MINTO,Pollock,Faroe Plateau,13,,,,47500,60000,,,,
NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN,Black oreo,West end of Chatham Rise,11,,27427,,,,,,0.0341,
NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN,Smooth oreo,Chatham Rise,14,,50242.75375,,,,,,0.0955,
NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN,Smooth oreo,West end of Chatham Rise,14,,21242.3892,,,,,,0.0793,
NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS,Hoki,Eastern New Zealand,21,,,,,,,,,
NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS,Hoki,Western New Zealand,21,,,,,,,,,
NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN,New Zealand snapper,New Zealand Area 8 (Auckland and Central West),11,,23536.1148,,,,,,0.0923,
NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN,Trevally,New Zealand Areas TRE 7,14,,15634.89433,,,,,,0.113,
NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN,common gemfish,New Zealand,14,,1803.026167,,,,,,0.289566667,
NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN,Ling,New Zealand Areas LIN 3 and 4,14,,30157.781,,,,,,0.354,
NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN,Ling,New Zealand Areas LIN 5 and 6,14,,48407.352,,,,,,0.314,
NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN,Ling,New Zealand Areas LIN 6b,14,,3014.0994,,,,,,0.308,
NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN,Ling,New Zealand Areas LIN 72,14,,1700.080512,,,,,,0.246,
NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN,Ling,New Zealand Areas LIN 7WC-WCSI,14,,28029.9456,,,,,,0.202,
