ASSESSID,AREAID,km2,lat,lon
WGNSSK-POLLNS-VI-IIIa-1964-2006-MINTO,multinational-ICES-IIIa-IV-VI,1580319,56.98,-1.01
AFSC-POPERCHGA-1959-2008-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
AFSC-POPERCHGA-1959-2010-Stachura,USA-NMFS-GA,819151,57.98,-146.69
NWFSC-POPERCHPCOAST-1953-2007-BRANCH,USA-NMFS-PCOAST,3246712,39.54,-120.48
NWFSC-PSOLENPCOAST-1910-2005-STANTON,USA-NMFS-NPCOAST,1206543,47.75,-125
NWFSC-PSOLESPCOAST-1874-2005-STANTON,USA-NMFS-SPCOAST,205759,33.75,-121
CSIRO-PTOOTHFISHMI-1975-2010-FAY,Australia-AFMA-MI,247031,-54.72,158.86
MARAM-PTOOTHFISHPEI-1960-2008-DEDECKER,South Africa-DETMCM-PEI,120905,-46.88,37.2
NEFSC-QUAHATLC-1978-2008-CHUTE,USA-NMFS-ATLC,1237104,35.7,-75.55
NAFO-SC-REDFISHSPP3LN-1959-2008-BAUM,multinational-NAFO-3LN,492042,44.81,-49.45
NAFO-SC-REDFISHSPP3M-1985-2006-PREFONTAINE,multinational-NAFO-3M,409464,44.12,-44.25
AFSC-REXSOLEGA-1979-2008-STANTON,USA-NMFS-GA,819151,57.98,-146.69
AFSC-REYEROCKBSAI-1974-2009-STANTON,USA-NMFS-BSAI,805634758,57.65,-45.42
AFSC-REYEROCKGA-1974-2007-MELNYCHUK,USA-NMFS-GA,819151,57.98,-146.69
SEFSC-RGROUPGM-1986-2005-JENSEN,USA-NMFS-GM,2496985,24.95,-91.62
AFSC-RKCRABBB-1960-2008-JENSEN,USA-NMFS-BB,74842,52.05,-173.5
AFSC-RKCRABNS-1976-2008-JENSEN,USA-NMFS-NS,29408,63.85,-164.27
SEFSC-RPORGYSATLC-1972-2004-JENSEN,USA-NMFS-SATLC,392932,31.55,-79.34
NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN,New Zealand-MFish-CRA1,399295,-33.63,172.65
NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN,New Zealand-MFish-CRA2,26699684693,-36.1,95.66
NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN,New Zealand-MFish-CRA3,2303671631,-40.32,6.76
