"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"AFSC-POPERCHGA-1959-2010-Stachura","Pacific ocean perch","Sebastes alutus","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,79664,"MT","MT",1961,1977,0.0967689041065084,0.04208288611526,0.222168777847918,NA,NA,NA
"AFSC-REXSOLEGA-1979-2008-STANTON","Rex sole","Solea vulgaris","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,18877,"MT","MT",1982,1982,0.0277250253633612,0.0305740092688925,0.0467920483908856,NA,NA,NA
"AFSC-REYEROCKBSAI-1974-2009-STANTON","Rougheye rockfish","Sebastes aleutianus","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,5883,"MT","MT",1977,1977,0.0337246454494175,0.0183307754451335,0.0641170031991,NA,NA,NA
"AFSC-REYEROCKGA-1974-2007-MELNYCHUK","Rougheye rockfish","Sebastes aleutianus","NMFS","Gulf of Alaska","Gulf of Alaska",2,1,NA,8694,"MT","MT",1977,1977,0.0162839466364805,0.0132853979667151,0.0291686038285056,NA,NA,NA
"AFSC-RKCRABBB-1960-2008-JENSEN","Red king crab","Paralithodes camtschaticus","NMFS","Bristol Bay","East Bering Sea",1,1,NA,34070,"MT","MT",1985,1985,0.0955940205530498,0.0896722346389283,0.166363488486371,0.289678850160757,0.271734044360389,0.504131783292033
"AFSC-RKCRABNS-1976-2008-JENSEN","Red king crab","Paralithodes camtschaticus","NMFS","Norton Sound","East Bering Sea",1,1,NA,1617.96,"no value","MT",NA,1976,NA,NA,NA,NA,NA,NA
"AFSC-SABLEFEBSAIGA-1956-2008-MELNYCHUK","Sablefish","Anoplopoma fimbria","NMFS","Eastern Bering Sea / Aleutian Islands / Gulf of Alaska","East Bering Sea",1,2,NA,100730,"MT","MT",1960,1960,0.0660927419878532,0.0624008438818565,0.0950909597746805,NA,NA,NA
"AFSC-SNOWCRABBS-1979-2008-JENSEN","Snow crab","Chionoecetes opilio","NMFS","Bering Sea","East Bering Sea",1,1,NA,418030.728,"MT","MT",1979,1979,0.102750732650485,0.0745422966771811,0.213012995284441,NA,NA,NA
"AFSC-SRAKEROCKBSAI-1977-2008-STANTON","Shortraker rockfish","Sebastes borealis","NMFS","Bering Sea and Aleutian Islands","East Bering Sea",1,1,NA,139188,"MT","no value",1980,NA,0.0115048926551489,0.0088569056185995,0.0231452969839918,NA,NA,NA
"AFSC-WPOLLAI-1976-2008-MELNYCHUK","Walleye pollock","Theragra chalcogramma","NMFS","Aleutian Islands","East Bering Sea",1,NA,NA,98987,"MT","MT",1978,1978,0.0506575315961158,0.0362084677730433,0.119830334028213,NA,NA,NA
