"","ASSESSID","X.1","X","LME_NAME","SCIENTIFICNAME","COMMON","AREA","LME_NUMBER","LME_COUNT","BIOMASS_TS_LENGTH","LANDINGS_TS_LENGTH","B_msy","B_msy..n...2","short_ID","BMSY","lnk","maxB","hit"
"207","NWWG-CODFAPL-1959-2006-MINTO",207,207,"Faroe Plateau","Gadus morhua","Atlantic cod","Faroe Plateau",60,1,46,46,99317.4,99317.4,"NWWG165",99317.4,12.1992,161260,1
"208","NWWG-CODICE-1952-2006-MINTO",208,208,"Iceland Shelf","Gadus morhua","Atlantic cod","Iceland Grounds",59,1,52,52,1475000,1475000,"NWWG166",1475000,14.8973,2357000,1
"209","NWWG-HADFAPL-1955-2006-MINTO",209,209,"Faroe Plateau","Melanogrammus aeglefinus","Haddock","Faroe Plateau",60,1,50,50,95793.6,95793.6,"NWWG167",95793.6,12.1631,168570,1
"210","NWWG-HADICE-1977-2007-MINTO",210,210,"Iceland Shelf","Melanogrammus aeglefinus","Haddock","Iceland Grounds",59,1,29,29,411348,411348,"NWWG168",411348,13.6203,305098,1
"211","NWWG-POLLFAPL-1958-2006-MINTO",211,211,"Faroe Plateau","Pollachius virens","Pollock","Faroe Plateau",60,1,46,46,240557,240557,"NWWG169",240557,13.0839,313275,1
"212","NZMFishDEEPWATER-BLACKOREOWECR-1973-2007-JENSEN",212,212,"New Zealand Shelf","Allocyttus niger","Black oreo","West end of Chatham Rise",46,1,35,35,112286,112286,"NZMFishDEEPWATER170",112286,12.322,227865,1
"213","NZMFishDEEPWATER-SMOOTHOREOCR-1979-2006-JENSEN",213,213,"New Zealand Shelf","Pseudocyttus maculatus","Smooth oreo","Chatham Rise",46,1,28,28,144956,144956,"NZMFishDEEPWATER171",144956,12.5773,295065,1
"214","NZMFishDEEPWATER-SMOOTHOREOWECR-1973-2004-JENSEN",214,214,"New Zealand Shelf","Pseudocyttus maculatus","Smooth oreo","West end of Chatham Rise",46,1,32,32,62066.6,62066.6,"NZMFishDEEPWATER172",62066.6,11.7291,128639,1
"215","NZMFishHOKIWG-HOKIENZ-1972-2007-FRANCIS",215,215,"New Zealand Shelf","Macruronus novaezelandiae","Hoki","Eastern New Zealand",46,1,36,36,660648,660648,"NZMFishHOKIWG173",660648,14.0941,1953700,1
"216","NZMFishHOKIWG-HOKIWNZ-1972-2007-FRANCIS",216,216,"New Zealand Shelf","Macruronus novaezelandiae","Hoki","Western New Zealand",46,1,36,36,1083490,1083490,"NZMFishHOKIWG174",1083490,14.5888,2700080,1
"217","NZMFishINSHOREWG-NZSNAPNZ8-1931-2005-JENSEN",217,217,"New Zealand Shelf","Chrysophrys auratus","New Zealand snapper","New Zealand Area 8 (Auckland and Central West)",46,1,75,75,53383.8,53383.8,"NZMFishINSHOREWG175",53383.8,11.5784,109631,1
"218","NZMFishINSHOREWG-TREVALLYTRE7-1944-2005-JENSEN",218,218,"New Zealand Shelf","Pseudocaranx dentex","Trevally","New Zealand Areas TRE 7",46,1,62,62,31283.1,31283.1,"NZMFishINSHOREWG176",31283.1,11.044,63741.4,1
"219","NZMFishLOBSTERWG-RROCKLOBSTERCRA1-1945-2001-JENSEN",219,219,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,57,57,1550.94,1550.94,"NZMFishLOBSTERWG177",1550.94,8.03976,3368.26,1
"220","NZMFishLOBSTERWG-RROCKLOBSTERCRA2-1945-2001-JENSEN",220,220,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,57,57,2233.71,2233.71,"NZMFishLOBSTERWG178",2233.71,8.40457,5115.49,1
"221","NZMFishLOBSTERWG-RROCKLOBSTERCRA3-1945-2007-JENSEN",221,221,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,63,63,1117.87,1117.87,"NZMFishLOBSTERWG179",1117.87,7.71233,2666.28,1
"222","NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN",222,222,"New Zealand Shelf","Jasus edwardsii",NA,NA,46,1,61,61,2453.88,2453.88,"NZMFishLOBSTERWG180",2453.88,8.49857,5382.51,1
